Date,Close,Volume,RangeRatio,VolMedian20,RangeMedian20,VolRatio,RangeRatioToMed,PctMove,HighProximity,LowProximity,Trend,D1,D2,D3,IsDull,Fwd1d,Fwd3d,Fwd5d,Fwd10d
2020-01-02,25.63,1945810,0.00565745,,,,,,,,Unknown,0,0,0,0,-0.00273116,0.00312134,0.00936409,0.0241904
2020-01-03,25.56,1306157,0.00469479,,,,,-0.00273116,,,Unknown,0,0,0,0,0.00391238,0.00782476,0.0113459,0.0316902
2020-01-06,25.66,1930512,0.00623538,,,,,0.00391238,,,Unknown,0,0,0,0,0.00194853,0.00818398,0.0124708,0.0302026
2020-01-07,25.71,5079642,0.00350059,,,,,0.00194853,,,Unknown,0,0,1,0,0.00194481,0.0054454,0.0128355,0.0268378
2020-01-08,25.76,2020471,0.00582304,,,,,0.00194481,,,Unknown,0,0,1,0,0.00427021,0.00854035,0.0139752,0.0263975
2020-01-09,25.87,1381483,0.00309238,,,,,0.00427021,,,Unknown,0,0,0,0,-0.000773114,0.00657132,0.0146888,0.0243525
2020-01-10,25.85,1313664,0.00386841,,,,,-0.000773114,,,Unknown,0,0,1,0,0.00502898,0.0104449,0.0201161,0.0232108
2020-01-13,25.98,1889457,0.0065435,,,,,0.00502898,,,Unknown,0,0,0,0,0.00230952,0.0103926,0.0175135,0.0107775
2020-01-14,26.04,2616370,0.00480031,,,,,0.00230952,,,Unknown,0,0,1,0,0.00307219,0.0126728,0.0138248,0.0134408
2020-01-15,26.12,1562684,0.00459414,,,,,0.00307219,,,Unknown,0,0,0,0,0.004977,0.0120597,0.0122511,0.0088055
2020-01-16,26.25,1617144,0.00304762,,,,,0.004977,,,Unknown,0,0,0,0,0.00457146,0.00571427,0.00952381,0.00380954
2020-01-17,26.37,911597,0.00436101,,,,,0.00457146,,,Unknown,0,0,0,0,0.00246487,0.00265452,0.00303375,-0.0109974
2020-01-20,26.435,395779,0.00491769,,,,,0.00246487,,,Unknown,0,0,1,0,-0.001324,0.00245888,-0.00661998,-0.0111595
2020-01-21,26.4,1777022,0.0030303,,,,,-0.001324,,,Unknown,0,0,1,0,0.00151519,0.00189398,-0.000378797,-0.00113632
2020-01-22,26.44,2854114,0.00756425,,,,,0.00151519,,,Unknown,0,0,1,0,0.00226927,-0.00680788,-0.00340394,0.00510591
2020-01-23,26.5,1083474,0.00528307,,,,,0.00226927,,,Unknown,0,0,1,0,-0.00188676,-0.00415097,-0.00566036,0.00792449
2020-01-24,26.45,2635702,0.00793947,,,,,-0.00188676,,,Unknown,0,0,1,0,-0.00718338,-0.00378073,-0.0139887,0.00453682
2020-01-27,26.26,1787583,0.0076161,,,,,-0.00718338,,,Unknown,0,0,0,0,0.00495046,0.00342727,-0.00456972,0.0175171
2020-01-28,26.39,789240,0.00454714,,,,,0.00495046,,,Unknown,0,0,0,0,-0.00151569,-0.0117469,-0.000757808,0.0140205
2020-01-29,26.35,945910,0.0039848,,,,,-0.00151569,,,Unknown,0,0,1,0,0,-0.00796968,0.00853891,0.0197344
2020-01-30,26.35,2234796,0.00740037,1.69708E+06,0.00474755,1.31685,1.55878,0,0.99434,1.03091,Advance,0,0,1,0,-0.0102467,0.000759031,0.0136622,0.0197344
2020-01-31,26.08,2571240,0.0109279,1.69708E+06,0.00474755,1.51509,2.3018,-0.0102467,0.984151,1.02034,Advance,0,0,0,0,0.00230059,0.0189801,0.0187883,0.0318252
